name,playerId,teamId,teamName,age,height,weight,positionText,season
Grischa Prömel,278125,41,VfB Stuttgart,31,180,75,Midfielder,2026_27
Lucas Höler,227655,50,Freiburg,32,184,82,Forward,2026_27
Dejan Ljubicic,363662,39,Schalke 04,28,187,74,Midfielder,2026_27
Albian Hajdari,402697,1211,Hoffenheim,23,189,80,Defender,2026_27
Equi Fernández,411433,36,Bayer Leverkusen,24,178,70,Midfielder,2026_27
Marco Friedl,333227,42,Werder Bremen,28,187,82,Defender,2026_27
Salim Musah,569759,42,Werder Bremen,20,198,83,Forward,2026_27
Laurin Ulrich,444292,810,Paderborn,21,180,76,Midfielder,2026_27
Moussa Sylla,344041,39,Schalke 04,26,181,78,Forward,2026_27
Terem Moffi,400505,38,Hamburger SV,27,188,87,Forward,2026_27
Yannik Keitel,389375,1730,Augsburg,26,186,84,Midfielder,2026_27
Justin Njinmah,438066,42,Werder Bremen,25,184,75,Forward,2026_27
Philipp Treu,486776,50,Freiburg,25,173,72,Defender,2026_27
Tom Baack,306961,810,Paderborn,27,186,79,Midfielder,2026_27
Livan Burcu,495291,796,Union Berlin,21,178,68,Forward,2026_27
Otto Stange,508286,38,Hamburger SV,19,185,82,Forward,2026_27
Rayan Philippe,380644,38,Hamburger SV,25,182,78,Forward,2026_27
Yussuf Poulsen,132943,38,Hamburger SV,32,192,84,Forward,2026_27
Chema Andrés,539663,41,VfB Stuttgart,21,190,82,Midfielder,2026_27
Angelo Stiller,407476,41,VfB Stuttgart,25,183,77,Midfielder,2026_27
Joey Veerman,382556,44,Borussia Dortmund,27,185,81,Midfielder,2026_27
Lennart Karl,557706,37,Bayern Munich,18,168,67,Midfielder,2026_27
Arthur Vermeeren,445430,7614,RB Leipzig,21,180,76,Midfielder,2026_27
Jamie Leweling,379252,41,VfB Stuttgart,25,185,86,Forward,2026_27
Malik Pimpong,606459,45,Eintracht Frankfurt,18,190,0,Forward,2026_27
Otto Ruoppi,566595,219,Mainz 05,20,180,75,Midfielder,2026_27
Sheraldo Becker,137227,219,Mainz 05,31,180,77,Forward,2026_27
Martin Adeline,430308,38,Hamburger SV,22,180,63,Midfielder,2026_27
Florian Le Joncour,294026,1134,Elversberg,31,192,83,Defender,2026_27
Robin Hack,346210,134,Borussia M.Gladbach,28,178,68,Midfielder,2026_27
Michel Aebischer,327702,796,Union Berlin,29,183,78,Midfielder,2026_27
Andrej Kramaric,75217,1211,Hoffenheim,35,177,73,Forward,2026_27
Wael Mohya,575655,134,Borussia M.Gladbach,17,174,65,Midfielder,2026_27
Clemens Lippmann,625161,810,Paderborn,20,183,0,Midfielder,2026_27
Eren Dinkçi,408357,42,Werder Bremen,24,188,70,Forward,2026_27
Filippo Mane,536128,44,Borussia Dortmund,21,188,78,Defender,2026_27
