name,playerId,teamId,teamName,age,height,weight,positionText,season
Hugo Duro,354526,55,Valencia,26,177,70,Forward,2026_27
Nico Williams,408449,53,Athletic Club,24,181,67,Forward,2026_27
Carlos Protesoni,362393,60,Deportivo Alaves,28,185,76,Midfielder,2026_27
Jonathan Asp Jensen,527113,59,Deportivo de A Coruna,20,182,72,Midfielder,2026_27
Javi Galán,369497,62,Celta Vigo,31,170,70,Defender,2026_27
Germán Valera,390240,833,Elche,24,170,68,Forward,2026_27
Alex Freeman,440159,839,Villarreal,22,188,78,Defender,2026_27
Fran Pérez,444265,64,Rayo Vallecano,23,176,68,Forward,2026_27
Randy Nteka,422960,64,Rayo Vallecano,28,189,75,Midfielder,2026_27
Facundo Buonanotte,432384,833,Elche,21,174,66,Midfielder,2026_27
Mario Martín,471047,819,Getafe,22,178,74,Midfielder,2026_27
Miguel Loureiro,448273,59,Deportivo de A Coruna,29,182,70,Defender,2026_27
Jeremy Toljan,129620,832,Levante,32,182,74,Defender,2026_27
Carles Aleñá,303268,60,Deportivo Alaves,28,180,70,Midfielder,2026_27
José María Giménez,135914,63,Atletico Madrid,31,185,79,Defender,2026_27
Mouctar Diakhaby,322095,55,Valencia,29,189,78,Defender,2026_27
Williot Swedberg,444227,62,Celta Vigo,22,187,78,Midfielder,2026_27
Izan Merino,508035,69,Malaga,20,182,74,Midfielder,2026_27
Nemanja Gudelj,77417,819,Getafe,34,187,79,Midfielder,2026_27
Alex Marchal,546574,68,Real Sociedad,18,180,70,Forward,2026_27
Joaquín Muñoz,366204,69,Malaga,27,173,60,Forward,2026_27
Julio Díaz,605436,67,Sevilla,21,174,65,Defender,2026_27
Diego Villares,448009,59,Deportivo de A Coruna,30,180,75,Midfielder,2026_27
Ferran Jutglà,396158,62,Celta Vigo,27,176,75,Forward,2026_27
Teun Gijselhart,513251,59,Deportivo de A Coruna,21,176,69,Midfielder,2026_27
Yangel Herrera,318505,68,Real Sociedad,28,184,78,Midfielder,2026_27
Marc Santos,644082,832,Levante,15,0,0,Defender,2026_27
Facu González,444264,56,Racing Santander,23,193,78,Defender,2026_27
Hamza Abdelkarim,559489,65,Barcelona,18,182,76,Forward,2026_27
Jonathan Dubasin,447853,131,Osasuna,26,181,68,Forward,2026_27
Maguette Gueye,485481,56,Racing Santander,23,188,75,Midfielder,2026_27
Maroan Sannadi,541704,53,Athletic Club,25,192,78,Forward,2026_27
Raúl Moro,396490,131,Osasuna,23,169,68,Forward,2026_27
Rubén Vargas,381550,67,Sevilla,28,177,77,Midfielder,2026_27
Hugo González,427117,62,Celta Vigo,23,184,0,Midfielder,2026_27
Pol Lozano,382157,70,Espanyol,26,177,62,Midfielder,2026_27
Jesús Areso,422820,53,Athletic Club,27,182,81,Defender,2026_27
Jon Guridi,335041,67,Sevilla,31,179,64,Midfielder,2026_27
Martim Neto,438351,833,Elche,23,185,82,Midfielder,2026_27
Paco Cortés,541854,832,Levante,19,178,0,Forward,2026_27
Urko González de Zárate,401173,70,Espanyol,25,189,83,Midfielder,2026_27
Gnangoro,641813,64,Rayo Vallecano,22,0,0,Midfielder,2026_27
Abdel Abqar,409740,819,Getafe,27,188,80,Defender,2026_27
Yeremay Hernández,448011,59,Deportivo de A Coruna,23,170,61,Forward,2026_27
Haitam Abaida,448292,69,Malaga,24,172,70,Forward,2026_27
João Cancelo,128967,65,Barcelona,32,182,74,Defender,2026_27
Víctor García,395708,832,Levante,28,180,79,Defender,2026_27
Alfon González,408942,67,Sevilla,27,172,60,Forward,2026_27
Álvaro Padilla,644193,833,Elche,20,0,0,Forward,2026_27
Gorka Guruzeta,362602,53,Athletic Club,29,188,77,Forward,2026_27
Hugo Rincón,481851,53,Athletic Club,23,183,75,Defender,2026_27
José Salinas,402092,69,Malaga,25,179,69,Defender,2026_27
Abdoulaye Faye,498812,62,Celta Vigo,21,188,0,Defender,2026_27
Adrià Alti,448041,59,Deportivo de A Coruna,25,170,62,Defender,2026_27
Ángel Recio,511043,69,Malaga,23,185,80,Defender,2026_27
Jorge Domínguez,641096,63,Atletico Madrid,16,0,0,Defender,2026_27
Justin de Haas,372634,55,Valencia,26,194,87,Defender,2026_27
Aleix Febas,381643,62,Celta Vigo,30,171,61,Midfielder,2026_27
Abde Ezzalzouli,427283,54,Real Betis,24,177,73,Forward,2026_27
Adama Boiro,515307,53,Athletic Club,24,183,75,Defender,2026_27
Marcos Fernández,464541,70,Espanyol,23,176,65,Forward,2026_27
Zakaria Eddahchouri,429003,59,Deportivo de A Coruna,26,187,78,Forward,2026_27
Javier Morcillo,617819,833,Elche,20,183,0,Midfielder,2026_27
Ali Houary,508339,833,Elche,21,178,74,Forward,2026_27
Hugo Álvarez,427001,62,Celta Vigo,23,176,72,Midfielder,2026_27
Nicolás Valentini,414212,60,Deportivo Alaves,25,184,79,Defender,2026_27
Rafa Rodríguez,471958,69,Malaga,23,180,79,Midfielder,2026_27
Jozhua Vertrouwd,505924,64,Rayo Vallecano,22,187,73,Defender,2026_27
Aihen Muñoz,367583,68,Real Sociedad,29,175,68,Defender,2026_27
Carlos Martín,427360,63,Atletico Madrid,24,184,73,Forward,2026_27
David Mella,507361,59,Deportivo de A Coruna,21,169,65,Forward,2026_27
Luiz Júnior,400826,839,Villarreal,25,192,87,Goalkeeper,2026_27
Alemão,436617,64,Rayo Vallecano,28,182,88,Forward,2026_27
Tani Oluwaseyi,445292,839,Villarreal,26,187,80,Forward,2026_27
Buba Sangaré,510360,833,Elche,19,183,75,Defender,2026_27
Ilaix Moriba,409030,62,Celta Vigo,23,165,73,Midfielder,2026_27
Pere Milla,140772,70,Espanyol,33,184,72,Midfielder,2026_27
Aliou Dieng,431121,55,Valencia,28,185,78,Midfielder,2026_27
Ander Guevara,344120,60,Deportivo Alaves,29,180,73,Midfielder,2026_27
Asier Villalibre,331171,56,Racing Santander,28,182,86,Forward,2026_27
Jon Gorrotxategi,541871,68,Real Sociedad,24,177,74,Midfielder,2026_27
Julen Lobete,391317,69,Malaga,25,180,73,Forward,2026_27
Pablo Martínez,388808,69,Malaga,28,182,74,Midfielder,2026_27
Kevin Sánchez,511028,59,Deportivo de A Coruna,21,169,70,Forward,2026_27
Ilias Akhomach,428500,839,Villarreal,22,175,70,Forward,2026_27
Eneko Jauregi,463425,69,Malaga,30,184,81,Forward,2026_27
Jofre Carreras,430451,70,Espanyol,25,175,68,Forward,2026_27
Ryunosuke Sato,562981,55,Valencia,19,171,65,Midfielder,2026_27
Borja Mayoral,278721,819,Getafe,29,182,68,Forward,2026_27
Alberto Risco,523331,819,Getafe,21,157,42,Midfielder,2026_27
Kiko Femenía,75919,819,Getafe,35,176,61,Defender,2026_27
Arsen Zakharyan,400185,68,Real Sociedad,23,182,73,Midfielder,2026_27
Juan Cruz,357786,69,Malaga,26,177,72,Midfielder,2026_27
